#,id,title,color,memory,vendor,price,promo_price,photos,product_code,reviews_count,diagonal,display_resolution,specifications
1,1,Мобільний телефон Apple iPhone 16 Pro Max 256GB Black Titanium (MYWV3),чорний,256 Gb,Apple,65799,65799,"[""https://brain.com.ua/static/images/prod_img/3/0/U0961530_1738426633.jpg"", ""https://brain.com.ua/static/images/prod_img/3/0/U0961530_2_1738426634.jpg"", ""https://brain.com.ua/static/images/prod_img/3/0/U0961530_3_1738426634.jpg"", ""https://brain.com.ua/static/images/prod_img/3/0/U0961530_4_1738426636.jpg"", ""https://brain.com.ua/static/images/prod_img/3/0/U0961530_5_1738426637.jpg"", ""https://brain.com.ua/static/images/prod_img/3/0/U0961530_6_1738426638.jpg"", ""https://brain.com.ua/static/images/prod_img/3/0/U0961530_7_1738426639.jpg"", ""https://brain.com.ua/static/images/prod_img/3/0/U0961530_8_1738426641.jpg"", ""https://brain.com.ua/static/images/prod_img/3/0/U0961530_9_1738426642.jpg""]",U0961530,1,"6.9""",1320 х 2868,"{""Інші"": {""Виробник"": ""Apple"", ""Примітка"": ""Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження"", ""Штрихкод"": ""195949805783"", ""Гарантія, міс"": ""12"", ""Країна виробництва"": ""Китай""}, ""Камера"": {""Основна камера"": ""48 + 48 + 12 Mpx"", ""Функції камери"": ""розпізнавання обличчя, геотегінг, HDR, панорама, спалах, автофокус"", ""Фронтальна камера"": ""12 Mpx"", ""Метод стабілізації"": ""оптична"", ""Діафрагма основної камери"": ""f/1.78 + f/2.2 + f/2.8"", ""Запис відео основної камери"": ""4K / 3840x2160 / стереозвук"", ""Діафрагма фронтальної камери"": ""f/1.9"", ""Запис відео фронтальної камери"": ""4K / 3840x2160 / стереозвук"", ""Кількість модулів основної камери"": ""3"", ""Кількість модулів фронтальної камери"": ""1""}, ""Дисплей"": {""Тип дисплея"": ""OLED (Super Retina XDR)"", ""Матеріал екрану"": ""Ceramic Shield"", ""Діагональ екрану"": ""6.9\"""", ""Частота оновлення екрану"": ""120 Гц"", ""Роздільна здатність екрану"": ""1320 х 2868""}, ""Процесор"": {""Процесор"": ""Apple A18 Pro"", ""Відеоядро"": ""Apple Ax Series"", ""Кількість ядер"": ""6 core""}, ""Додатково"": {""Безпека"": ""FaceID"", ""Оснащення"": ""пило/вологозахист, гіроскоп"", ""Особливості"": ""IP68 certified"", ""Вбудовані датчики"": ""датчик освітлення, компас, акселерометр, датчик наближення, гіроскоп, барометр""}, ""Інтерфейси"": {""Інтерфейси і підключення"": ""USB Type-C""}, ""Функції пам'яті"": {""Вбудована пам'ять"": ""256 Gb""}, ""Бездротові технології"": {""Навігація"": ""iBeacon, BeiDou, Galileo, QZSS, GPS, A-GPS"", ""Бездротові технології"": ""бездротова зарядка, WI-FI, Bluetooth, NFC""}, ""Основні характеристики"": {""Форм-фактор"": ""моноблок"", ""Формат SIM-карти"": ""Nano, e-sim"", ""Кількість SIM-карт"": ""1 SIM + e-sim"", ""Покоління зв'язку (2G /3G/4G/5G)"": ""2G, 3G, 4G, 5G""}, ""Програмне забезпечення"": {""Органайзер"": ""нотатки, телефонна книга, диктофон, секундомір, калькулятор, світовий час, годинник, календар, будильник"", ""Мультимедіа"": ""ігри, мобільні сервіси Google, соціальні мережі, відеоплеєр, музичний плеєр"", ""Операційна система"": ""iOS 18""}, ""Фізичні характеристики"": {""Вага"": ""227 г"", ""Колір"": ""чорний"", ""Розміри (мм)"": ""163 х 77.6 х 8.25 мм"", ""Матеріал корпуса"": ""титан, алюміній"", ""Особливості корпусу"": ""безрамковий дисплей, водонепроникні""}}"
2,2,Мобільний телефон Apple iPhone 15 128GB Black (MTP03),чорний,128 Gb,Apple,32999,32999,"[""https://brain.com.ua/static/images/prod_img/8/9/U0854689_1739047983.jpg"", ""https://brain.com.ua/static/images/prod_img/8/9/U0854689_2_1739047984.jpg"", ""https://brain.com.ua/static/images/prod_img/8/9/U0854689_3_1739047986.jpg""]",U0854689,1,"6.1""",1179 х 2556,"{""Інші"": {""Виробник"": ""Apple"", ""Примітка"": ""Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження"", ""Штрихкод"": ""195949036019"", ""Гарантія, міс"": ""12"", ""Країна виробництва"": ""Китай""}, ""Камера"": {""Основна камера"": ""48 + 12 Mpx"", ""Функції камери"": ""розпізнавання обличчя, панорама, геотегінг, спалах, автофокус"", ""Фронтальна камера"": ""12 Mpx"", ""Метод стабілізації"": ""оптична"", ""Діафрагма основної камери"": ""f/1.6 + f/2.4"", ""Запис відео основної камери"": ""4K / 3840x2160 / стереозвук"", ""Діафрагма фронтальної камери"": ""f/1.9"", ""Кількість модулів основної камери"": ""2"", ""Кількість модулів фронтальної камери"": ""1""}, ""Дисплей"": {""Тип дисплея"": ""OLED"", ""Діагональ екрану"": ""6.1\"""", ""Частота оновлення екрану"": ""60 Гц"", ""Роздільна здатність екрану"": ""1179 х 2556""}, ""Процесор"": {""Процесор"": ""Apple A16 Bionic"", ""Кількість ядер"": ""6 core""}, ""Додатково"": {""Безпека"": ""FaceID"", ""Оснащення"": ""пило/вологозахист, гіроскоп"", ""Особливості"": ""IP68 certified"", ""Вбудовані датчики"": ""компас, акселерометр, датчик освітлення, датчик наближення, гіроскоп, барометр""}, ""Інтерфейси"": {""Інтерфейси і підключення"": ""USB Type-C""}, ""Функції пам'яті"": {""Вбудована пам'ять"": ""128 Gb""}, ""Бездротові технології"": {""Навігація"": ""QZSS, Galileo, BeiDou, iBeacon, GPS, A-GPS"", ""Бездротові технології"": ""Bluetooth, WI-FI, бездротова зарядка, NFC""}, ""Основні характеристики"": {""Форм-фактор"": ""моноблок"", ""Формат SIM-карти"": ""e-sim, Nano"", ""Кількість SIM-карт"": ""1 SIM + e-sim"", ""Покоління зв'язку (2G /3G/4G/5G)"": ""2G, 3G, 4G, 5G""}, ""Програмне забезпечення"": {""Органайзер"": ""будильник, телефонна книга, диктофон, секундомір, нотатки, калькулятор, світовий час, годинник, календар"", ""Мультимедіа"": ""соціальні мережі, відеоплеєр, музичний плеєр, мобільні сервіси Google, ігри"", ""Операційна система"": ""iOS 17""}, ""Фізичні характеристики"": {""Вага"": ""171 г"", ""Колір"": ""чорний"", ""Розміри (мм)"": ""147.6 x 71.6 x 7.80 мм"", ""Стан товару"": ""Новий"", ""Особливості корпусу"": ""водонепроникні""}}"
